estimand,configuration,propensity,truncation_lower,truncation_upper,truncation,result_dir,result_subdir,N,tmax,n_iterations,n_missing,true_parameter,method,bias,rmse,coverage,interval_length
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,1000,500,500,0,-2.0,Manual-RF,0.6516477465629578,2.623239040374756,0.9559999704360962,3.3250300884246826
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,1000,500,500,0,-2.0,Manual-NN,0.35717833042144775,1.6979659795761108,0.9779999852180481,2.89138126373291
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,1000,500,500,0,-2.0,Manual-Lasso-Lasso,-0.22255343198776245,0.7542802691459656,0.9760000109672546,1.7446229457855225
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,1000,500,500,0,-2.0,Manual-RF-RF,-0.24585779011249542,0.30227425694465637,0.5699999928474426,0.5538977980613708
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,1000,500,500,0,-2.0,Manual-NN-NN,109.19012451171875,1926.396728515625,0.9760000109672546,433.21551513671875
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,1000,500,500,0,-2.0,Auto-Lasso,-0.0028410928789526224,0.1491769254207611,0.9380000233650208,0.5640698075294495
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,1000,500,500,0,-2.0,Auto-RF,0.0014704144559800625,0.15572413802146912,0.8939999938011169,0.5060629844665527
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,1000,500,500,0,-2.0,Auto-NN,-0.03930021449923515,0.17733576893806458,0.906000018119812,0.6366462111473083
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,2000,500,500,0,-2.0,Oracle,0.00513088796287775,0.11035355180501938,0.9700000286102295,0.44122034311294556
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,2000,500,500,0,-2.0,Manual-Lasso (Bradic Original),-0.002996482653543353,0.23750446736812592,0.9760000109672546,0.6503540277481079
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,2000,500,500,0,-2.0,Manual-Lasso (Bradic),-0.2635664641857147,1.1068100929260254,0.984000027179718,1.5234007835388184
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,2000,500,500,0,-2.0,Manual-RF (Bradic),0.41965609788894653,1.734081506729126,0.9739999771118164,2.1169164180755615
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,2000,500,500,0,-2.0,Manual-NN (Bradic),0.34396472573280334,1.4123913049697876,0.984000027179718,2.175445556640625
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,2000,500,500,0,-2.0,Manual-Lasso,-0.2897823750972748,1.1221206188201904,0.9819999933242798,1.529119849205017
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,2000,500,500,0,-2.0,Manual-RF,0.4436075985431671,1.7407735586166382,0.9739999771118164,2.1278769969940186
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,2000,500,500,0,-2.0,Manual-NN,0.3436981737613678,1.4123057126998901,0.984000027179718,2.1754555702209473
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,2000,500,500,0,-2.0,Manual-Lasso-Lasso,-0.2435317039489746,1.0420409440994263,0.984000027179718,1.46515953540802
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,2000,500,500,0,-2.0,Manual-RF-RF,-0.17203927040100098,0.2102116346359253,0.5600000023841858,0.3809858560562134
