group,method,estimate,SE
Baseline,Benchmark,248.0,31.500000000000004
Baseline,Observational,327.1,36.599999999999994
Manual,Manual-Lasso,1047.7191279617598,714.2430498281742
Manual,Manual-RF,288.71629825012553,17.8404595626612
Manual,Manual-NN,200.6493142481458,39.69142646662348
Auto,Auto-Lasso,203.8262,32.10151175752361
Auto,Auto-RF,233.9361,43.16725939550351
Auto,Auto-NN,209.5424,69.2658114689403
