method,ATT,SE
"OLS YDiff on Z, X1, and D",-0.0571076938371799,0.0195566358556638
Caetano,-0.0571,0.0195
LASSO,-0.0551992915570735,0.0203122533857822
RF,-0.0485918633639812,0.0199884139001369
Net,-0.0563515797257423,0.0207842011004686
