method,ATT,SE
"OLS YDiff on Z, X1, and D",-0.0454589184618781,0.019760203584134
Caetano,-0.0455,0.0197
LASSO,-0.0462387651205062,0.0246645864099264
RF,-0.0442653782665729,0.0247935056686401
Net,-0.0506613329052925,0.0256320759654045
