method,ATT,SE
"OLS YDiff on Z, X1, and D",-0.076354065627611,0.0229605241781966
Caetano,-0.0764,0.0229
LASSO,-0.0703021958470344,0.0239045396447181
RF,-0.059525042772293,0.0230861715972423
Net,-0.0617354735732078,0.024600300937891
