method,ATT,SE
"OLS YDiff on Z, X1, and D",-0.0245420091847173,0.0190024687252837
Caetano,-0.0245,0.019
LASSO,-0.0316897705197334,0.022793173789978
RF,-0.0251320488750934,0.0223331972956657
Net,-0.0353573448956012,0.0231480449438095
